,0
0,alabama
1,alaska
2,arizona
3,arkansas
4,california
5,colorado
6,connecticut
7,delaware
8,florida
9,georgia
10,hawaii
11,idaho
12,illinois
13,indiana
14,iowa
15,kansas
16,kentucky
17,louisiana
18,maine
19,maryland
20,massachusetts
21,michigan
22,minnesota
23,mississippi
24,missouri
25,montana
26,nebraska
27,nevada
28,new hampshire
29,new jersey
30,new mexico
31,new york
32,north carolina
33,north dakota
34,ohio
35,oklahoma
36,oregon
37,pennsylvania
38,rhode island
39,south carolina
40,south dakota
41,tennessee
42,texas
43,utah
44,vermont
45,virginia
46,washington
47,west virginia
48,wisconsin
49,wyoming
